artwork	subject
http://dbpedia.org/resource/Statue_of_Benito_Juárez_(New_Orleans)	http://dbpedia.org/resource/Benito_Juárez
http://dbpedia.org/resource/The_Astronomer_and_his_Wife	an astronomer and his wife
http://dbpedia.org/resource/Lewis_and_Clark_(sculpture)	http://dbpedia.org/resource/William_Clark
http://dbpedia.org/resource/Equestrian_statue_of_the_Duke_of_Cambridge,_Whitehall	http://dbpedia.org/resource/Prince_George,_Duke_of_Cambridge
http://dbpedia.org/resource/The_Tempest_(Hebald)	Prospero and Miranda
http://dbpedia.org/resource/Statue_of_Cosimo_I	Cosimo I de' Medici
http://dbpedia.org/resource/Wall_of_Welcome	History of Austin, Texas
http://dbpedia.org/resource/Bust_of_Christopher_Columbus_(Lancaster,_Pennsylvania)	Christopher Columbus
http://dbpedia.org/resource/Statue_of_Thomas_Jefferson_(Hempstead,_New_York)	http://dbpedia.org/resource/Thomas_Jefferson
http://dbpedia.org/resource/Adam_Mickiewicz_Monument,_Kraków	http://dbpedia.org/resource/Adam_Mickiewicz
http://dbpedia.org/resource/The_Archer_(Lepcke)	Young naked woman, tightening bow
http://dbpedia.org/resource/Redwood_statue_of_Elizabeth_Taylor	Elizabeth Taylor
http://dbpedia.org/resource/L'Orage	http://dbpedia.org/resource/Thunderstorm
http://dbpedia.org/resource/Statue_of_Jeannette_Rankin	http://dbpedia.org/resource/Jeannette_Rankin
http://dbpedia.org/resource/Statue_of_Jefferson_Davis_(Frankfort,_Kentucky)	http://dbpedia.org/resource/Jefferson_Davis
http://dbpedia.org/resource/Statue_of_Mahatma_Gandhi,_Accra	Mahatma Gandhi
http://dbpedia.org/resource/Statue_of_Henry_Lawson_Wyatt	Henry Lawson Wyatt
http://dbpedia.org/resource/Ivar_Feeding_the_Gulls	http://dbpedia.org/resource/Ivar_Haglund
http://dbpedia.org/resource/Statue_of_Abraham_Lincoln_(Ashland,_Oregon)	http://dbpedia.org/resource/Abraham_Lincoln
http://dbpedia.org/resource/Statue_of_Hans_Christian_Heg	http://dbpedia.org/resource/Hans_Christian_Heg
http://dbpedia.org/resource/South_Bank_Lion	Lion
http://dbpedia.org/resource/Statue_of_Junípero_Serra_(San_Francisco)	http://dbpedia.org/resource/Junípero_Serra
http://dbpedia.org/resource/Robert_E._Lee_on_Traveller	Robert E. Lee
http://dbpedia.org/resource/Statue_of_Louis_XVI	http://dbpedia.org/resource/Louis_XVI
http://dbpedia.org/resource/Statue_of_Vasilios_Priskos	Vasilios Priskos
http://dbpedia.org/resource/Remember_To_Rise	Modern Second Scramble For Africa
http://dbpedia.org/resource/Statue_of_Thomas_Starr_King_(San_Francisco)	Thomas Starr King
http://dbpedia.org/resource/Washakie_(McGary)	http://dbpedia.org/resource/Washakie
http://dbpedia.org/resource/Coast_Guard_Station,_Two_Lights,_Maine	http://dbpedia.org/resource/Cape_Elizabeth_Lights
http://dbpedia.org/resource/Andrew_Jackson_Downing_Urn	http://dbpedia.org/resource/Andrew_Jackson_Downing
http://dbpedia.org/resource/Statue_of_Benjamin_Franklin_(Boston)	http://dbpedia.org/resource/Benjamin_Franklin
http://dbpedia.org/resource/Lady_at_the_Tea_Table	Mary Dickinson Riddle
http://dbpedia.org/resource/Statue_of_Edward_W._Carmack	http://dbpedia.org/resource/Edward_W._Carmack
http://dbpedia.org/resource/Statue_of_James_Cook_(Anchorage,_Alaska)	http://dbpedia.org/resource/James_Cook
http://dbpedia.org/resource/Monument_to_the_heroes_of_Puente_Sampayo	http://dbpedia.org/resource/Battle_of_Puente_Sanpayo
http://dbpedia.org/resource/The_Chariot_of_Death	http://dbpedia.org/resource/Death
http://dbpedia.org/resource/Statue_of_James_Paul_Clarke	http://dbpedia.org/resource/James_Paul_Clarke
http://dbpedia.org/resource/Thomas_Starr_King_(Patigian)	http://dbpedia.org/resource/Thomas_Starr_King
http://dbpedia.org/resource/Transcendence_(Jellum)	Fish
http://dbpedia.org/resource/Mezzetino_(painting)	Mezzetino playing guitar
http://dbpedia.org/resource/Angel_with_the_Superscription	Angel
http://dbpedia.org/resource/Statue_of_Luis_Pérez_Verdía	http://dbpedia.org/resource/Luis_Pérez_Verdía
http://dbpedia.org/resource/Harbour_Cone_from_Peggy's_Hill	New Zealand landscape
http://dbpedia.org/resource/Blessed_Ludovica_Albertoni	http://dbpedia.org/resource/Ludovica_Albertoni
http://dbpedia.org/resource/Statue_of_John_Winthrop	http://dbpedia.org/resource/John_Winthrop
http://dbpedia.org/resource/Statue_of_Anita_Mui	http://dbpedia.org/resource/Anita_Mui
http://dbpedia.org/resource/Equestrian_statue_of_José_de_San_Martín_(Central_Park)	http://dbpedia.org/resource/José_de_San_Martín
http://dbpedia.org/resource/Bust_of_Henry_C._Matysek	Henry C. Matysek
http://dbpedia.org/resource/Berthe_Morisot_with_a_Bouquet_of_Violets	http://dbpedia.org/resource/Berthe_Morisot
http://dbpedia.org/resource/Priesthood_Restoration	
http://dbpedia.org/resource/Bacchanal_of_Putti	http://dbpedia.org/resource/Category:Sculptures_in_Rome
http://dbpedia.org/resource/Balzac_in_the_Robe_of_a_Dominican_Monk	http://dbpedia.org/resource/Category:Bronze_sculptures_in_France
http://dbpedia.org/resource/Merritt_Island_Dragon	http://dbpedia.org/resource/Category:1971_sculptures
http://dbpedia.org/resource/Resurrection_of_Christ_(Bermejo)	http://dbpedia.org/resource/Category:Paintings_in_the_collection_of_the_Museu_Nacional_d'Art_de_Catalunya
http://dbpedia.org/resource/1937_in_fine_arts_of_the_Soviet_Union	http://dbpedia.org/resource/Category:1937_in_art
http://dbpedia.org/resource/Headbutt_(sculpture)	http://dbpedia.org/resource/Category:Sports_culture_in_France
http://dbpedia.org/resource/Facing_the_Crowd	http://dbpedia.org/resource/Category:Bronze_sculptures_in_Oregon
http://dbpedia.org/resource/The_Repast_of_the_Lion	http://dbpedia.org/resource/Category:Lions_in_art
http://dbpedia.org/resource/Composition_for_%22Jazz%22	http://dbpedia.org/resource/Category:1915_paintings
http://dbpedia.org/resource/Grrrrrrrrrrr!!	http://dbpedia.org/resource/Category:1965_paintings
http://dbpedia.org/resource/Young_Abe_Lincoln	http://dbpedia.org/resource/Category:1962_sculptures
http://dbpedia.org/resource/Certosa_di_Pavia_Altarpiece	http://dbpedia.org/resource/Category:Paintings_depicting_Tobias
http://dbpedia.org/resource/Annunciation_(Botticelli,_Glasgow)	http://dbpedia.org/resource/Category:1490s_paintings
http://dbpedia.org/resource/Conduit_(mural)	http://dbpedia.org/resource/Category:2010s_murals
http://dbpedia.org/resource/Portrait_of_Alfonso_d'Avalos_with_a_Page	http://dbpedia.org/resource/Category:16th-century_portraits
http://dbpedia.org/resource/Saint_Theodora_(Tzanes)	http://dbpedia.org/resource/Category:Paintings_in_Greece
http://dbpedia.org/resource/550_+_1	http://dbpedia.org/resource/Category:2015_sculptures
http://dbpedia.org/resource/Bacchus_(Michelangelo)	http://dbpedia.org/resource/Category:1497_sculptures
http://dbpedia.org/resource/Source_(1/3)	http://dbpedia.org/resource/Category:Sculptures_by_Tony_Smith
http://dbpedia.org/resource/The_Raising_of_Lazarus_(Rembrandt)	http://dbpedia.org/resource/Category:Christian_art_about_death
http://dbpedia.org/resource/Statue_of_Jacobo_Gálvez	http://dbpedia.org/resource/Category:Statues_in_Mexico
http://dbpedia.org/resource/The_New_Settlers	http://dbpedia.org/resource/Category:1933_paintings
http://dbpedia.org/resource/The_Death_of_Adonis_(Mazzuoli)	http://dbpedia.org/resource/Category:Sculptures_of_the_Hermitage_Museum
http://dbpedia.org/resource/Statue_of_Georg_Zoëga	http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Copenhagen
http://dbpedia.org/resource/Crucifixion_(Perugino_and_Signorelli)	http://dbpedia.org/resource/Category:Paintings_depicting_John_the_Baptist
http://dbpedia.org/resource/Cinq-Mars'_Farewell_to_Marie_d'Entraigues	http://dbpedia.org/resource/Category:History_paintings
http://dbpedia.org/resource/Four_Eagles	http://dbpedia.org/resource/Category:Statues_in_New_York_City
http://dbpedia.org/resource/Annunciation_(van_Eyck,_Washington)	http://dbpedia.org/resource/Category:Books_in_art
http://dbpedia.org/resource/The_Immaculate_Conception_(El_Greco,_Toledo)	http://dbpedia.org/resource/Category:Mannerism
http://dbpedia.org/resource/Equestrian_statue_of_Charles_I,_Charing_Cross	http://dbpedia.org/resource/Category:Equestrian_statues_in_the_United_Kingdom
http://dbpedia.org/resource/Fountain_of_São_João_(Melgaço)	http://dbpedia.org/resource/Category:Fountains_in_Portugal
http://dbpedia.org/resource/Pallas_and_Arachne	http://dbpedia.org/resource/Category:Paintings_by_Peter_Paul_Rubens
http://dbpedia.org/resource/Deposition_(van_Dyck,_1634)	http://dbpedia.org/resource/Category:Paintings_of_the_Virgin_Mary
http://dbpedia.org/resource/Midvinterblot	http://dbpedia.org/resource/Category:Paintings_by_Carl_Larsson
http://dbpedia.org/resource/Nike_Crowns_the_Hero	http://dbpedia.org/resource/Category:Statues_in_Germany
http://dbpedia.org/resource/St_Euphemia_(Mantegna)	http://dbpedia.org/resource/Category:Paintings_in_the_collection_of_the_Museo_di_Capodimonte
http://dbpedia.org/resource/Statue_of_Christopher_Columbus_(St._Louis)	http://dbpedia.org/resource/Category:Buildings_and_structures_in_St._Louis
http://dbpedia.org/resource/Great_Wall_of_Los_Angeles	http://dbpedia.org/resource/Category:Mexican-American_culture_in_Los_Angeles
http://dbpedia.org/resource/A_Sergeant_of_the_Light_Horse	http://dbpedia.org/resource/Category:Portraits_by_Australian_artists
http://dbpedia.org/resource/Fountain_of_Mercury	http://dbpedia.org/resource/Category:Hermes
http://dbpedia.org/resource/The_Lion_and_Leopard_Hunt	http://dbpedia.org/resource/Category:Hunting_in_art
http://dbpedia.org/resource/The_Conspiracy_of_Claudius_Civilis	http://dbpedia.org/resource/Category:Cultural_depictions_of_Dutch_men
http://dbpedia.org/resource/Seattle_Cloud_Cover	http://dbpedia.org/resource/Category:Glass_works_of_art
http://dbpedia.org/resource/Chief_Kno-Tah	http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Oregon
http://dbpedia.org/resource/Prince_Balthasar_Charles_with_a_Dwarf	http://dbpedia.org/resource/Category:Portraits_by_Diego_Velázquez
http://dbpedia.org/resource/Three_Elements	http://dbpedia.org/resource/Category:Modern_paintings
http://dbpedia.org/resource/Crucifixion_(Vouet)	http://dbpedia.org/resource/Category:1636_paintings
http://dbpedia.org/resource/Emancipation_and_Freedom_Monument	http://dbpedia.org/resource/Category:Sculptures_of_women_in_Virginia
http://dbpedia.org/resource/Running_Horses	http://dbpedia.org/resource/Category:Animal_sculptures_in_Oregon
http://dbpedia.org/resource/The_Immaculate_Conception_(Tiepolo)	http://dbpedia.org/resource/Category:Paintings_of_the_Immaculate_Conception
